seccional,fiscales,poblacion
Amazonas,4,75388
Antioquia,17,6266961
Arauca,10,266165
Atlantico,18,60071
Bolivar,5,1897567
Boyaca,9,1213015
Cordoba,4,1683792
Caldas,6,1004428
Caqueta,8,471527
Casanare,9,350221
Cauca,7,1359634
Cesar,5,800362
Choco,6,461595
Cundinamarca,25,10374839
Guainia,7,82939
Guaviare,6,130991
Huila,6,1140585
La Guajira,3,930165
Magdalena,8,1286609
Meta,10,945361
Narino,5,1722999
Norte de Santander,6,1342477
Putumayo,5,348337
Quindio,7,562087
Risaralda,8,946626
San Andres,11,75801
Santander,8,1742598
Sucre,5,843182
Tolima,9,1404268
Valle,14,4586350
Vichada,4,7026